gene	SRX007811	SRX008015	SRX008027	SRX008025	SRX008010	SRX008005	SRX008018	SRX008007	SRX008006	SRX008020	SRX008011	SRX008019	SRX008026	SRX008008	SRX008009	SRX008029	SRX008014	SRX008156	SRX008023	SRX008016	SRX008013	SRX008022	SRX008024	SRX008012	SRX008028	SRX008021	SRX008171	SRX008155	SRX008017	SRX008157
FBgn0000003	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FBgn0000008	7551	2115	3561	2393	4201	10789	20594	12805	4935	6014	2760	5338	2746	3324	771	568	1426	6111	9307	11148	5020	3167	2925	2412	4361	2542	21523	7813	3639	8644
FBgn0000014	135	1331	9645	14198	14129	11359	22710	11238	8229	8321	2918	6706	5584	4037	1421	1379	3356	7878	8075	7763	1302	277	233	1212	1131	804	4279	1784	1090	10784
FBgn0000015	64	590	5982	5692	5690	4127	7978	3009	2804	3150	1121	2804	2032	1425	523	345	770	2078	1222	1591	440	88	82	949	1272	952	1258	802	553	2012
FBgn0000017	19124	15294	11862	11312	14809	20546	28808	21247	13142	9013	8859	14643	4461	4710	1321	1708	3817	9070	12897	16306	10766	10522	9733	4885	7084	5081	17637	8525	4548	10929
FBgn0000018	1642	232	643	417	385	340	499	279	203	175	92	234	455	742	222	381	414	706	748	801	1164	1067	999	647	1158	846	769	613	486	725
FBgn0000022	95	704	4325	1694	571	120	89	17	8	29	3	23	0	0	2	49	89	297	403	350	9	1	3	1	1	0	51	1	8	289
FBgn0000024	4	9	28	66	106	380	1279	2355	3761	4820	2823	6624	5128	3402	661	528	1065	2530	6857	5177	2469	465	441	4143	4433	3510	8039	8760	2910	4404
FBgn0000028	5	22	110	94	106	180	457	595	474	388	118	274	271	124	17	45	94	187	436	492	97	18	20	575	1912	969	623	579	561	248
FBgn0000032	6499	3530	2670	1297	2383	3384	5692	3484	5077	3919	2585	5607	1153	2230	1023	1496	1890	4127	4427	2526	3562	4307	4493	1527	1930	1827	2670	2306	975	4754
FBgn0000036	4	2	9	15	22	147	434	1130	1909	2417	1043	1841	2499	723	95	43	177	301	454	619	206	38	27	605	1005	716	1269	1281	423	321
FBgn0000037	5	20	36	55	39	121	434	1683	4104	5501	2861	6347	5702	2078	253	171	327	466	1072	1422	1013	227	187	1530	2763	1672	3732	3748	1326	526
FBgn0000038	0	3	2	11	12	102	359	84	255	222	122	412	117	132	6	6	11	20	56	102	37	26	27	166	93	171	378	444	56	15
FBgn0000039	10	1	7	13	18	151	585	1399	2172	3080	1568	3417	2499	1020	90	135	210	568	1162	1558	442	57	69	741	1156	717	2728	2848	712	662
FBgn0000042	106141	145495	298340	143051	137700	182744	200864	124547	103538	141296	137076	261758	131582	267648	60841	66000	88030	206474	239837	198108	116058	76837	79308	58941	80454	46453	215921	59295	134763	288464
FBgn0000043	16213	22241	70480	64494	72601	88525	100421	47034	30207	24800	10980	22231	9252	14193	7435	17438	26777	63745	80984	59393	22139	15632	14855	14185	21980	15593	40823	22127	25032	104001
FBgn0000044	1774	1477	4160	16923	41523	76191	198246	486492	766306	967922	410241	889452	659510	1036069	615267	353407	165388	87221	41377	15938	132421	16342	12548	96860	89231	50308	29966	561309	404254	16973
FBgn0000045	11	11	37	113	235	346	895	3394	5532	5040	2889	5402	4436	5078	2239	1760	815	334	6144	3836	200621	1761	3453	240970	22940	50154	41031	390486	430234	1012
FBgn0000046	236	646	5362	6620	10324	7550	8137	33395	119966	122048	22681	51814	13342	18984	16444	20961	12403	10355	5049	8221	45001	2085	2359	48345	27085	23509	21728	290170	210588	3201
FBgn0000047	4	5	28	13	27	28	42	34	50	46	16	59	23	49	19	23	7	93	3595	4161	286143	931	1098	245927	4050	7347	86148	616238	623134	2363
FBgn0000052	9421	2482	2424	1374	2020	6292	7133	5752	3750	3308	2833	5562	11136	8683	5123	3752	11783	20173	15295	7277	14959	9815	9505	8700	9776	4911	8234	4363	5756	17482
FBgn0000053	1440	988	2254	1187	1526	3038	3756	2437	1539	1625	1110	2078	4448	3541	1883	2331	8550	16360	5126	2827	6373	3794	3762	2346	1499	1038	1621	1696	1696	21880
FBgn0000054	5276	5257	16791	12508	7995	9373	11699	6784	4467	3548	1134	2663	2267	3479	900	1540	2251	4701	4617	6013	3641	2922	2977	1760	2715	1928	5704	3045	1910	5650
FBgn0000055	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FBgn0000056	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FBgn0000057	5273	2169	2368	2176	3175	5059	4864	3359	2421	1797	1107	2189	1576	1999	987	1379	2436	4909	5089	5097	4017	2966	2766	4866	7929	5715	5399	5304	3647	3534
FBgn0000061	16	37	242	1213	1784	2898	5067	3061	1848	2772	1003	2147	1531	1639	274	370	671	1772	1639	2062	100	15	13	83	70	38	968	286	391	1530
FBgn0000063	4315	928	3981	2345	1321	753	1265	264	186	132	52	157	120	313	114	284	459	1179	1444	1167	1195	2174	2128	484	790	607	805	583	268	1260
FBgn0000064	11069	11034	22067	8381	12740	28813	48743	95769	97240	119110	64244	127023	191306	208356	93573	65764	39903	26661	11003	12832	160736	18291	30758	185506	109091	151605	56982	157694	151545	18254
FBgn0000071	1677	19349	146609	134496	80771	64339	50303	14216	3744	2453	598	1616	618	879	303	2103	7788	28702	22230	13843	386	13	62	65	53	103	10604	2958	1373	57105
FBgn0000075	122	498	3491	1094	1005	2252	5499	22290	27912	3619	292	707	541	14079	1119	178	137	173	586	359	870	1220	1155	406	538	332	5883	384	368	245
FBgn0000077	3107	1344	2278	1183	1345	1734	1620	1136	700	560	393	760	944	860	281	351	505	936	868	822	1708	1474	1302	587	1021	598	965	911	512	1114
FBgn0000078	0	1	1	2	5	3	5	4	1	1	3	6	15	30	35	3773	3236	2075	23	4	310	225	303	625	352	540	10	1	77	87
FBgn0000079	1	3	8	20	41	54	50	25	7	67	644	1031	3263	5743	3621	4463	3048	1975	27	5	14293	3721	5898	14666	12614	8958	16	2	176	172
FBgn0000083	6956	6131	9284	6895	8646	24655	37071	47009	26603	38223	27093	50290	27926	47427	13434	15284	14635	18152	15985	10050	13789	6905	5788	13509	17550	12123	30942	25927	24359	15508
FBgn0000084	2611	298	169	56	87	97	150	483	690	715	190	308	181	289	336	1149	1623	2715	2550	1399	5366	2816	2339	5548	8579	5578	1966	4764	4445	2770
FBgn0000092	9	25	70	61	73	60	58	37	34	48	156	410	436	63	16	17	28	50	1233	105	4539	25	44	3762	103	107	543	77	41673	147
FBgn0000094	0	1	1	1	7	0	0	0	1	2	0	0	0	0	0	0	0	0	37	0	8	0	1	12860	15645	15367	0	1	192	0
FBgn0000097	9880	11401	63604	48986	31384	24986	32788	14907	9382	5878	5563	10748	3794	3684	1113	971	2555	11358	21342	9165	6637	4598	4429	3360	2988	1998	9229	2393	19616	21846
FBgn0000099	50	74	511	961	657	997	1811	872	573	515	202	487	400	474	260	493	963	2266	2737	3172	580	381	212	1215	1644	1488	2113	1492	910	2527
FBgn0000100	100031	120146	247442	136894	147597	259200	211151	199663	167326	187682	105711	187498	281177	320944	103691	88511	77427	126195	94920	89401	207005	118464	108692	64832	104701	62237	94613	101810	79013	120569
FBgn0000108	291	161	226	477	1215	4343	9934	9967	11531	12380	7277	16204	14083	8482	1223	772	2446	5179	11690	14445	4134	1287	1050	7751	9688	7309	17449	19491	5848	6838
FBgn0000109	1210	1545	4319	1681	1091	1205	1845	1170	1235	1113	1166	2659	2200	4232	1248	657	544	1096	769	778	1152	1172	1152	832	732	564	1008	811	833	1394
FBgn0000114	39082	3614	1155	368	581	915	1281	1134	922	1249	613	1332	1002	637	306	601	1268	2526	3712	8251	22623	22518	21636	12693	18768	13919	18522	21797	10335	2777
FBgn0000115	4677	3961	7258	5203	5337	7863	6438	4021	2679	2148	945	1774	3022	6556	2136	2113	2032	3503	2808	2976	2980	2584	2350	2032	2961	2256	3363	2715	1443	3820
FBgn0000116	16592	792	1632	10370	25610	109757	102530	78732	42512	36442	33966	63631	206535	325189	228626	238238	122433	65661	65624	87534	135236	26193	30639	173692	149238	182623	171619	234708	72325	36773
FBgn0000117	51642	86896	332972	187221	134358	178055	168451	118241	74847	54935	28668	54542	25483	28990	7839	12833	19531	40221	58780	75025	36628	26257	23635	17584	23790	16511	71996	50010	17831	53804
FBgn0000119	7722	9933	30955	15101	13311	14281	17468	9552	7774	5804	4063	7709	4174	3360	1725	2513	4825	9159	10810	15595	4322	2871	2620	4310	5190	3996	8001	5827	3260	11417
FBgn0000120	2	1	2	6	24	7	15	190	473	800	610	1252	1327	619	115	112	180	356	454	543	35218	15120	11883	59341	165593	78817	862	4177	25065	397
FBgn0000121	0	23	159	41	60	66	72	31	103	130	83	160	150	88	13	21	20	32	249	56	51697	21859	18420	88148	234481	108079	1317	14906	35790	264
FBgn0000137	26	240	3388	4753	3680	2087	2751	409	322	248	68	245	96	129	66	96	165	326	400	138	10	6	3	0	8	4	36	15	14	457
FBgn0000139	2604	3528	6540	2491	2071	1821	2114	1402	1111	799	1233	2295	1247	1659	682	872	1091	1740	2178	2687	2390	1752	1592	1431	2227	1695	2090	1737	869	1889
FBgn0000140	26185	11083	40974	18642	11293	4105	5002	2181	1417	851	1049	1863	341	722	506	1188	2040	3324	6828	4843	8402	14499	14302	2630	4284	3668	2929	2824	1795	3113
FBgn0000142	9162	4131	13124	9344	7536	5909	12094	7057	5704	5383	1978	4302	4324	3274	1149	1179	2833	5396	6663	7358	6413	5017	4753	5811	10913	6992	6808	6426	4297	6198
FBgn0000146	5425	4313	3076	1313	1288	851	1427	815	631	296	614	1234	210	267	168	109	133	259	413	455	6599	5401	6157	471	833	607	437	458	619	346
FBgn0000147	7720	3376	8957	5874	4349	2056	1403	757	489	280	249	783	84	197	92	453	686	1308	2920	2638	2071	3321	3031	1399	2764	2287	1963	1540	1000	1341
FBgn0000150	76465	41695	28487	9653	10021	20939	19887	21601	16606	15730	8945	14136	60891	115815	39635	26362	23240	40805	27826	32471	79650	55406	48768	27414	33604	21189	24973	26594	26503	40283
FBgn0000152	2744	1286	2934	1697	1802	1341	992	444	461	758	586	1347	1270	2196	1283	1592	1884	3426	1895	1667	2794	1362	1421	2016	2104	1479	1257	1112	3192	3025
FBgn0000153	64	85	155	53	51	51	64	342	942	1266	93	271	28	62	251	293	1170	18171	5232	867	11838	944	1461	14810	10360	11688	1176	9365	35437	57769
FBgn0000157	29	463	2233	1769	1458	1361	2012	998	1068	1074	348	715	621	430	115	578	1192	2465	2377	3526	504	137	97	777	1068	687	2790	1609	897	2359
FBgn0000158	2914	808	580	268	384	270	412	249	226	81	257	432	33	152	82	54	103	215	229	207	915	1406	1129	123	192	162	163	111	124	220
FBgn0000163	11273	11411	24194	17605	15535	10824	11214	12963	8721	5778	2128	4197	1789	2204	822	455	1256	2562	4041	4199	6127	4704	4082	3407	3694	2397	5081	3589	2854	3700
FBgn0000166	4685	1754	1850	802	1150	688	1779	1197	853	318	1348	2524	2	7	0	1	4	4	3	5	1126	2125	2136	7	18	2	19	12	17	5
FBgn0000171	36600	11099	47163	56931	40947	55680	54054	36738	24319	28994	16818	28096	43049	38380	12363	7564	13653	24366	30428	31843	42208	29585	28350	30576	45524	32263	27392	28797	25234	31876
FBgn0000173	13501	14671	18407	8302	9788	10325	12720	9059	6264	4983	2974	6126	5363	8230	3022	4819	7597	16533	14036	9576	10133	7328	7724	4780	5424	4159	7457	6992	4634	21131
FBgn0000179	162	146	788	2316	3237	4564	6410	4347	2563	2338	723	1373	1376	779	350	565	1403	2654	2771	3637	488	126	107	543	867	570	2138	935	714	2779
FBgn0000180	1738	27673	90628	49914	18553	8261	6928	2501	1129	1129	359	845	235	197	120	582	1809	4675	6862	4955	672	193	237	482	880	618	3023	906	825	6690
FBgn0000181	64540	45874	103080	65842	67355	111717	95953	63874	56417	57881	36007	68828	100423	100856	31162	23924	24515	45714	39137	39075	72116	50930	48626	26026	34352	25526	34112	35450	29144	44317
FBgn0000182	87826	2128	1452	414	499	111	350	571	88	181	62	241	6	5	3	223	593	1111	2478	3499	34469	47352	47871	8120	14646	9432	5255	6629	5619	1247
FBgn0000183	18124	8922	6904	3463	5963	9708	18193	12099	9354	6125	5608	12361	5974	11016	2581	1876	3104	6752	8594	7696	11021	11606	11987	5448	5635	4855	13326	8350	3651	9098
FBgn0000206	2	5	17	88	170	1049	1552	735	517	301	115	221	122	84	12	6	24	37	138	276	1849	348	362	3041	3548	2441	2151	6077	2853	85
FBgn0000210	37	68	70	124	213	636	1686	2570	2216	2203	740	1366	1611	615	556	3832	21180	45501	15890	4173	1330	612	660	349	617	470	2478	689	1525	33074
FBgn0000212	27722	39505	94053	54824	41008	24728	37119	25437	16336	8776	13846	20428	8815	12207	3924	4756	8407	14134	17208	20562	13089	11888	10913	5559	7960	5072	11765	8436	3915	15616
FBgn0000216	331	3593	26740	17259	8718	702	438	113	91	93	17	190	9	11	34	161	197	529	1121	273	29	7	17	0	1	12	52	4	10	557
FBgn0000221	2015	1199	2696	1353	1171	1293	1209	807	450	364	239	438	586	635	240	301	382	676	1065	827	1028	991	797	523	1003	656	721	527	433	740
FBgn0000227	2435	22158	669	63	108	28	41	36	16	41	8	153	0	0	0	0	1	1	4	0	40	10	24	0	3	2	10	0	2	0
FBgn0000228	11210	58176	14310	6179	6254	5548	7222	4581	3513	2634	2034	4688	1211	1490	516	601	1197	1845	2582	2416	4446	4511	4164	1890	2553	1787	2333	1732	1218	2397
FBgn0000229	815	909	7547	6990	5842	8176	12947	3656	4367	2741	1071	3226	2324	3667	1101	1360	1584	3823	3723	4104	1254	882	854	2110	2130	1791	4700	3985	1222	3840
FBgn0000233	250	3261	11515	4503	1711	1034	1125	726	437	433	143	252	324	134	51	227	345	670	666	921	236	41	39	144	337	195	897	294	196	787
FBgn0000239	19049	16474	17021	8837	10302	9549	13794	9419	7853	4139	8435	15278	9712	9217	3327	4109	5315	8289	7484	7061	13626	12532	12677	6112	9124	6172	7103	12906	5930	8971
